pitch	secs	volume	RT_mean	RT_std	choice_raw																			
A	0.5	0.5	0.004361719265580178	0.013263939370684473	'high'	 'high'	 'high'	 'high'	 'high'	 'high'	 'high'	 'high'	 'high'	 'high'	 'high'	 'high'	 'high'	 'high'	 'high'	 'high'	 'high'	 'high'	 'high'	 'high'
A	0.5	0.5	1.4018784761428833	0.0	'high'	 '--'	 '--'	 '--'	 '--'	 '--'	 '--'	 '--'	 '--'	 '--'	 '--'	 '--'	 '--'	 '--'	 '--'	 '--'	 '--'	 '--'	 '--'	 '--'
A	0.5	1.0	1.048218846321106	0.0	'high'	 '--'	 '--'	 '--'	 '--'	 '--'	 '--'	 '--'	 '--'	 '--'	 '--'	 '--'	 '--'	 '--'	 '--'	 '--'	 '--'	 '--'	 '--'	 '--'
A	2.0	0.5	4.001114845275879	0.0	'low'	 '--'	 '--'	 '--'	 '--'	 '--'	 '--'	 '--'	 '--'	 '--'	 '--'	 '--'	 '--'	 '--'	 '--'	 '--'	 '--'	 '--'	 '--'	 '--'
A	2.0	1.0	2.395561456680298	0.0	'low'	 '--'	 '--'	 '--'	 '--'	 '--'	 '--'	 '--'	 '--'	 '--'	 '--'	 '--'	 '--'	 '--'	 '--'	 '--'	 '--'	 '--'	 '--'	 '--'
G	0.5	0.5			'--'	 '--'	 '--'	 '--'	 '--'	 '--'	 '--'	 '--'	 '--'	 '--'	 '--'	 '--'	 '--'	 '--'	 '--'	 '--'	 '--'	 '--'	 '--'	 '--'
G	0.5	1.0	1.2066160440444946	0.0	'low'	 '--'	 '--'	 '--'	 '--'	 '--'	 '--'	 '--'	 '--'	 '--'	 '--'	 '--'	 '--'	 '--'	 '--'	 '--'	 '--'	 '--'	 '--'	 '--'
G	2.0	0.5	2.4828710556030273	0.0	'low'	 '--'	 '--'	 '--'	 '--'	 '--'	 '--'	 '--'	 '--'	 '--'	 '--'	 '--'	 '--'	 '--'	 '--'	 '--'	 '--'	 '--'	 '--'	 '--'
G	2.0	1.0	1.3184665441513062	0.0	'low'	 '--'	 '--'	 '--'	 '--'	 '--'	 '--'	 '--'	 '--'	 '--'	 '--'	 '--'	 '--'	 '--'	 '--'	 '--'	 '--'	 '--'	 '--'	 '--'

extraInfo
participant	Nobody
session	001
