行業別大類,行業別中類,行業別小類,1月,2月,3月,4月,5月,6月,7月,8月,9月,10月,11月,12月 
F.批發、零售及餐飲業,54 零售業,542 鐘錶、眼鏡零售,1401187,1233012,1353304,1545180,1777047,2097150,2173995,2251640,2181982,2000901,1686377,1635248
F.批發、零售及餐飲業,54 零售業,543 建材零售,287668,250893,267904,293933,309903,348341,344249,323435,367674,353963,298837,265079
F.批發、零售及餐飲業,54 零售業,544 燃料零售,3323121,2937467,3395251,3319311,3475220,3589756,3584504,3639277,3546001,3474707,3420138,3441201
F.批發、零售及餐飲業,54 零售業,545 機械器具零售,704377,627552,698281,755589,884309,967723,1024823,1041502,933644,878221,770362,750907
F.批發、零售及餐飲業,54 零售業,546 汽機車、自行車及其零件、配備零售,2844927,2472581,2776043,3161577,3919131,4551959,4784005,4991082,4778933,4286988,3661575,3410904
F.批發、零售及餐飲業,54 零售業,547 首飾及貴金屬零售,495581,431810,466529,518231,647669,765013,809152,827701,797679,726357,609059,574230
F.批發、零售及餐飲業,54 零售業,548 攝影器材零售,129814,114620,119393,136552,161974,212888,226781,237864,226174,196028,150266,138713
F.批發、零售及餐飲業,55 零售業,551 中古商品零售,81275,79615,79681,95169,102425,121149,124801,132047,118968,114824,107630,173987
F.批發、零售及餐飲業,55 零售業,559 其他零售,13108903,11743947,13155614,14109124,15853305,16962631,17323930,17617566,16792051,15833181,13926386,13526374
F.批發、零售及餐飲業,56 國際貿易業,,8174506,6252295,8913531,8776251,11539515,11402024,12581396,12848360,11205744,10020776,9305687,8454085
F.批發、零售及餐飲業,57 餐飲業,571 餐館業,67906379,60516743,70823207,75044693,86752633,96932609,102041093,104185019,101269801,92528758,81804074,80342826
F.批發、零售及餐飲業,57 餐飲業,572 茶館及飲料店業,5334176,4888229,5668470,6102932,6980515,7937950,8222638,8480215,8141093,7585470,6616533,6398190
F.批發、零售及餐飲業,57 餐飲業,579 其他餐飲業,13447066,12132989,14089599,15001621,17100309,19134686,20027497,20485213,19748315,18159714,15992866,15498675
G.運輸、倉儲及通信業,61 運輸業,611 陸上運輸業,152156200,159366294,180333664,183097696,199366723,197970156,206887966,208230878,200543008,194976273,188874050,187785891
G.運輸、倉儲及通信業,61 運輸業,612 水上運輸業,1903658,1565155,1945023,2073941,2517966,2051552,2351249,2325378,2301455,2198526,2172472,2279403
G.運輸、倉儲及通信業,61 運輸業,613 航空運輸業,27585090,23904227,29565668,30751790,38048439,38814136,41596620,41521352,38439494,34635304,32481455,31395095
G.運輸、倉儲及通信業,61 運輸業,614 儲配運輸物流業,6420375,5704032,6679838,6584158,8509536,8231432,8906206,9144021,8271285,7543179,7039486,6438641
G.運輸、倉儲及通信業,61 運輸業,615 運輸服務業,8989361,7725748,9453956,10190132,11985571,12284547,12941185,13143133,12505277,11716077,10942016,10356161
G.運輸、倉儲及通信業,61 運輸業,616 運輸服務業,3490274,2955252,3691872,3948049,4564941,5338088,5664943,5572634,5270788,4761805,4439971,4275864
G.運輸、倉儲及通信業,62 倉儲業,,67382472,57597458,66718362,71529552,81503895,83770538,88618365,89806967,85055292,80311201,75910677,74164964
G.運輸、倉儲及通信業,63 通信業,631 郵政業,4086247,3320999,4540455,4814731,6410821,6532188,7193090,7244250,6660750,5841719,5177304,4721341
G.運輸、倉儲及通信業,63 通信業,632 電信業,99278759,88165429,102965639,102799499,113729976,114801259,119805537,120118472,114581977,110018061,105091304,104389939
H.金融、保險及不動產業,65 金融及其輔助業,651 銀行業,31892668,26312681,32306907,33767659,40738387,43832319,48100852,49505705,45378353,41900151,37967545,36815552
H.金融、保險及不動產業,65 金融及其輔助業,652 信用合作社業,1551795,1330216,1479307,1688429,1970563,2325260,2461287,2553726,2391693,2197594,1962162,2204767
H.金融、保險及不動產業,65 金融及其輔助業,653 農會、漁會信用業,2573475,2186512,2629175,2872837,3608875,3986970,4232578,4368714,4110382,3697052,3252554,3016357
H.金融、保險及不動產業,65 金融及其輔助業,654 信託投資業,1179824,950570,1286244,1288204,1611258,1628975,1491008,1518084,1394174,1233182,1148079,1105935
H.金融、保險及不動產業,65 金融及其輔助業,655 郵政儲金匯兌業,951015,773592,1074935,1133824,1767861,1770872,1906656,1932380,1737000,1532859,1342907,1186087
H.金融、保險及不動產業,65 金融及其輔助業,659 其他金融及其輔助業,4923469,4032439,5254826,5287050,6460124,6340813,6994899,7023053,6281023,5766257,5491567,5187520
H.金融、保險及不動產業,66 證券及期貨業,661 證券業,5012866,4338863,4861179,5522222,6066449,6570652,6915934,7007404,6659684,6115322,5602046,5511332
H.金融、保險及不動產業,66 證券及期貨業,662 期貨業,57233,50707,57536,67166,75108,87085,87814,91794,89984,80888,70300,68975
