行業別大類,行業別中類,行業別小類,1月,2月,3月,4月,5月,6月,7月,8月,9月,10月,11月,12月
C.製造業,16 木竹製品製造,,19849546,15596631,20646743,19857307,21505589,21104262,22102445,23416067,20450328,21149781,21204710,20964041
C.製造業,17 家具及裝設品製造,171 非金屬家具及裝設品製造,2578358,1897100,2602356,2533329,2875219,2821360,3032341,3191246,2914613,2874112,2705088,2620770
C.製造業,17 家具及裝設品製造,172 金屬家具及裝設品製造,5802781,4348640,5832462,5763496,6493950,6508227,6507753,7030878,6047081,6347605,6360068,6250030
C.製造業,17 家具及裝設品製造,173 家具及裝設品表面塗裝,2171928,1527499,2176999,2145558,2446667,2514806,2686668,2780838,2481527,2463131,2593290,2479966
C.製造業,18 紙漿、紙及紙製品製造,181 紙漿製造業,28708554,28914888,35673110,37011509,34114875,38575449,35704561,31100140,33664935,37728026,36005862,32475388
C.製造業,18 紙漿、紙及紙製品製造,182 紙製造業,83177516,72946542,84980141,89855878,83940897,89082044,81125210,89398174,77530256,82167976,78322220,83500830
C.製造業,18 紙漿、紙及紙製品製造,183 加工紙製造業,5104702,3874466,5268981,5149081,5419739,5145542,5409384,5795036,5134672,5222406,5982519,5826069
C.製造業,18 紙漿、紙及紙製品製造,184 紙容器製造業,15682768,11772358,16111207,15827707,17042102,17082708,17576964,18274965,16710878,17360084,17305921,17913690
C.製造業,18 紙漿、紙及紙製品製造,189 其他紙製品製造業,14251471,10530387,14738060,14437867,15335313,15011931,14990993,15826859,14194924,15117364,15213390,14989542
C.製造業,19 印刷及有關事業合計,191 印刷業,34519304,26146659,34249154,35934391,41325769,42452809,44578722,46199182,42373386,42307004,41137390,38656912
C.製造業,19 印刷及有關事業合計,192 製版業,752085,593491,485956,489979,530030,500339,534229,595711,622404,554113,565390,511391
C.製造業,19 印刷及有關事業合計,193 裝訂及印刷工業,2611472,1988592,2360311,2666596,3129653,3293405,3440273,3459221,3193676,3335265,3082476,2917204
C.製造業,19 印刷及有關事業合計,194 印刷有關服務業,4945865,3835760,5210832,5155837,5549779,5610104,5537877,5894387,5440132,5591088,5559259,5453667
C.製造業,21 化學材料製造業,211 基本化學材料製造,136667490,135598713,150882550,151101254,143868013,147782489,156449610,153301081,142858366,149555857,138402608,135146294
C.製造業,21 化學材料製造業,212 人造纖維製造,244449323,215477208,256258389,268797147,274007630,265342395,273887920,265032643,256108927,291766677,260883239,270475662
C.製造業,21 化學材料製造業,213 合成樹脂、塑膠及橡膠製造,115752355,106781419,144790164,157700655,144537674,122025313,127319000,133116522,116581532,143492812,159166618,123810468
C.製造業,21 化學材料製造業,219 其他化學材料製造,74663589,68453355,80024518,79673817,82611231,78816837,83632267,84182301,80185426,84207591,83425367,82544151
C.製造業,22 化學製品製造業,221 塗料、漆料及相關產品製造,30176643,24172518,27727645,31680568,32160836,34353225,33402154,31045604,28756506,32381328,29091817,31158372
C.製造業,22 化學製品製造業,222 藥品製造,57747652,43854985,61445918,62712457,70924556,70467065,72922052,75538397,67590286,70317772,66518437,66059031
C.製造業,22 化學製品製造業,223 清潔用品製造,7128306,5630317,7200192,7249982,7753977,7836300,7950485,7820143,7110696,7482695,7387601,6930391
C.製造業,22 化學製品製造業,224 化妝品製造,7594402,6041138,7741066,7962690,9214094,9559162,9920757,10130798,9116126,9436947,8942337,8600175
C.製造業,22 化學製品製造業,229 其他化學製品製造,147976524,146174511,158027318,184856358,174629814,174235234,176409844,183107512,165677869,180282605,175484916,170480332
C.製造業,23 石油及煤製品製造業,231 石油煉製,146429847,148362500,164879022,154304181,161195969,163143008,168896469,165810962,156777783,148551693,138143850,149989540
C.製造業,23 石油及煤製品製造業,239 其他石油及煤製品製造,34286519,31277803,39049422,49867529,50500329,42875287,43086029,44750945,37317777,43231069,42432293,41357624
C.製造業,24 橡膠製品製造業,,95779705,76724723,101345815,93827003,105712678,102818348,103370550,104496524,93974267,102122015,102004061,97120805
C.製造業,25 塑膠製品製造業,,404148075,319294178,418503574,412282810,437670012,435642777,449589681,467282473,417940930,433838169,435271722,438416584
C.製造業,26 非金屬礦物製品製造業,261 陶瓷器及其製品製造,29071974,13566873,28245821,28429528,30424520,28328595,28980372,29562528,25941885,27796584,26125143,27134912
C.製造業,26 非金屬礦物製品製造業,262 玻璃及玻璃製品製造,196247571,179630898,199810934,203187252,218290441,217482288,225804584,230245930,220473084,228470802,216407048,223805250
C.製造業,26 非金屬礦物製品製造業,263 水泥及水泥製品製造,140691604,113783573,140242105,133904054,138584892,125134049,134069314,134435863,119339175,136379708,141109706,152965207
C.製造業,26 非金屬礦物製品製造業,264 耐火材料製造,3828672,2676275,3684465,3677983,3902089,3695415,3837508,3609442,3675802,3968177,4000887,4217434
C.製造業,26 非金屬礦物製品製造業,265 石材製品製造,17823570,11937663,17831543,17262126,17879132,17473929,17798419,17992333,15610875,16258867,16630701,17661698
C.製造業,26 非金屬礦物製品製造業,269 其他非金屬礦物製品製造,37868793,26510270,39092088,38560915,41411373,39492748,39191161,40477791,35019783,37457980,37308076,38656030
C.製造業,27 金屬基本工業,271 鋼鐵基本工業,903715344,721998261,893632853,870629686,945097058,829920580,881509547,854896332,757807311,915401444,882796491,966030364
C.製造業,27 金屬基本工業,272 鋁基本工業,51581072,44478640,54814446,47649807,60240832,54964826,57673215,59140091,50963270,56050151,56296655,56997802
C.製造業,27 金屬基本工業,273 銅基本工業,38196787,58813046,39984455,35076969,40260526,40247709,40923151,42073995,38509223,41209219,40048121,40828099
C.製造業,27 金屬基本工業,279 其他非鐵金屬基本工業,7948616,5725335,8412774,8290856,9163615,9069428,9358421,9814849,8941855,9075284,9525627,9258570
C.製造業,28 金屬製品製造業,281 金屬手工具製造,21872102,16918605,22664562,22098156,24684484,24612867,25173604,26112580,23488405,23649155,24207131,23913483
C.製造業,28 金屬製品製造業,282 金屬模具製造,40402435,31372143,40502056,40974168,47389989,47528847,49147229,51554873,46527949,45861155,45989263,44744925
C.製造業,28 金屬製品製造業,283 金屬建築結構及組件製造,17941292,14366086,19061313,18497480,20677444,19570513,20240067,20508177,19048821,19531593,19501075,20237644
C.製造業,28 金屬製品製造業,284 鋁銅製品製造,59105728,46227578,61935361,58648464,64282901,63955015,64574225,67997620,57894600,64675368,65289491,66362409
C.製造業,28 金屬製品製造業,285 粉末冶金、表面及金屬熱處理業,88939650,66801575,92585253,89741118,95987372,93495187,96330761,98980024,89513757,93296532,93751272,96595727
C.製造業,28 金屬製品製造業,289 其他金屬製品製造,334181940,266367573,349501775,346903744,377678769,373577131,382329265,397200361,359963787,367124176,369850039,378221644
C.製造業,29 機械設備製造修配業,291 鍋爐及原動機製造修配,6898438,5495410,7856672,7890106,9030683,9048735,9408923,9566645,8349268,8945496,8774566,8405166
C.製造業,29 機械設備製造修配業,292 農業及園藝機械製造修配,2059603,1705389,2305244,2037587,2415495,2349986,2365330,2647179,2197672,2304482,2442877,2282417
C.製造業,29 機械設備製造修配業,293 金屬加工用機械製造修配,42130028,32483577,44004561,44525420,49425926,49141834,51178877,54498141,48672439,48731815,49107011,49338468
C.製造業,29 機械設備製造修配業,294 專用生產機械製造修配,13868234,10453023,14731226,14666482,16199785,16230524,16808798,17617493,15357047,15589437,14888771,14639402
C.製造業,29 機械設備製造修配業,295 建築及礦業機械設備製造修配,2525628,1658170,2794556,2395206,2801512,2632591,2937936,2815513,2503640,2468305,2721859,2628516
C.製造業,29 機械設備製造修配業,296 事務機器製造,1671361,1396582,1721939,1870122,1893290,2002415,2124087,2223995,1918976,1956304,1843774,1805291
C.製造業,29 機械設備製造修配業,297 污染防治設備製造修配,4128999,3274778,4581464,4540731,4878057,4811637,4918655,5069353,4402466,4668469,4406866,4665151
C.製造業,29 機械設備製造修配業,298 通用機械設備製造修配,3822377,3058242,4087414,4269157,5051918,5236961,5488449,5936497,5213568,5032093,4716870,4599374
C.製造業,29 機械設備製造修配業,299 其他機械製造修配,84812707,64608847,90913094,88587897,100784529,112395682,95811938,108770121,99067919,101256404,100341096,98327609
C.製造業,31 電力及電子機械器材製造修配業,311 電力機械器材製造修配,65460883,51271245,70121516,70581370,72339266,71704724,72980067,73494809,63246292,70421699,68183447,65496745
C.製造業,31 電力及電子機械器材製造修配業,312 家用電器製造,27114701,23337504,27725729,28022716,31572786,31611065,32889468,32514819,30254288,30853446,28771910,28492233
