行業別大類,行業別中類,行業別小類,1月,2月,3月,4月,5月,6月,7月,8月,9月,10月,11月,12月
C.製造業,19 其他化學製品製造業,199 未分類其他化學製品製造業,81642038,66050016,79947590,103213521,105716879,75978041,86302159,93605467,88906864,90056972,113856840,87364913
C.製造業,20 藥品及醫用化學製品製造業, ,62765655,50496749,64528672,67261176,72908228,72457215,79770991,79945372,74024033,74235993,68782412,67321256
C.製造業,21 橡膠製品製造業, ,82066685,59400677,90071264,88620462,93203645,88295713,93916115,91763204,83190021,84129441,85680160,84275211
C.製造業,22 塑膠製品製造業, ,428136959,326600765,422008339,421301235,453934673,430284976,462176305,464283554,435066287,450884830,431390008,437913887
C.製造業,23 非金屬礦物製品製造業,231 玻璃及其製品製造業,251362031,220527952,247879097,251856498,257937331,248659199,258582787,257884133,241680371,242436339,237532448,245038538
C.製造業,23 非金屬礦物製品製造業,232 耐火、黏土建材及其他陶瓷製品製造業,32324492,14565976,31445645,32946545,35109667,32957105,35039310,33223988,31861155,33614921,33427718,33864465
C.製造業,23 非金屬礦物製品製造業,233 水泥及其製品製造業,138182874,110301406,138915974,125771282,129461860,134388007,132125081,131461622,129461321,139271712,147333346,144430266
C.製造業,23 非金屬礦物製品製造業,234 石材製品製造業,9303426,6548620,9619430,9177809,9165405,8751244,9700424,9963459,9853149,10307942,10079661,10132763
C.製造業,23 非金屬礦物製品製造業,239 其他非金屬礦物製品製造業,40482568,28290139,39635855,38139314,38496165,37842264,38763561,38320131,36927017,40097435,39259305,41218395
C.製造業,24 基本金屬製造業,241 鋼鐵製造業,945852825,802304940,996702641,926318909,945108829,871516088,878996885,883313638,842389232,910700433,924575841,984795980
C.製造業,24 基本金屬製造業,242 鋁製造業,66616762,50930683,65948641,65974155,71334221,65468225,72791248,71384737,66164842,68587281,66821463,66147031
C.製造業,24 基本金屬製造業,243 銅製造業,96141539,70740444,92882552,90675297,96979184,90705380,90192277,93588794,91592325,96335849,94734226,96782552
C.製造業,24 基本金屬製造業,249 其他基本金屬製造業,26882992,20199883,26767314,27270467,29382338,27299866,29093845,29645683,27980243,28652619,28134429,27790397
C.製造業,25 金屬製品製造業,251 金屬刀具、手工具及模具製造業,88537576,69864974,83777891,89709461,96368827,93684330,98604819,101459426,94585162,92512037,86909964,84395905
C.製造業,25 金屬製品製造業,252 金屬結構及建築組件製造業,72501809,52669320,69731924,70916857,64320314,64473522,69094835,70929250,67801587,68424374,67447378,71515680
C.製造業,25 金屬製品製造業,253 金屬容器製造業,12639732,9314853,12834216,12806174,14215528,13522840,15117677,14463077,12400124,12882916,11710277,12508684
C.製造業,25 金屬製品製造業,254 金屬加工處理業,179013502,128954836,172241334,171166072,183377321,170404313,182648579,181674659,169580490,172275915,170659695,172009691
C.製造業,25 金屬製品製造業,259 其他金屬製品製造業,166704377,124600983,157680777,159410288,172122070,162713475,172271565,172535045,159826368,161413854,159404137,159769082
C.製造業,26 電子零組件製造業,261 半導體製造業,2079253956,1887840790,2121811256,2155386837,2282432113,2267613875,2403370216,2427512169,2299024929,2361455488,2250969181,2307236513
C.製造業,26 電子零組件製造業,262 被動電子元件製造業,133287750,113573394,134161206,137506612,147890672,148369699,156548473,157502311,150835110,152736537,145266468,147426272
C.製造業,26 電子零組件製造業,263 印刷電路板製造業,267356695,211700811,269981100,274790178,292596789,289984439,310652570,312171227,294359856,296170084,281686330,285415683
C.製造業,26 電子零組件製造業,264 光電材料及元件製造業,993018823,892127303,1014334547,1003487710,1049387011,971424349,1071050154,1062520483,980994326,979517343,917035408,926412923
C.製造業,26 電子零組件製造業,269 其他電子零組件製造業,251857230,213710609,251343552,255485294,274893649,276989367,295185468,301476688,286113214,286264664,275909752,283879869
C.製造業,27 電腦、電子產品及光學製品製造業,271 電腦及其週邊設備製造業,43110253,34307161,43039530,45119220,49649888,50037670,56919315,57313193,52677447,51990290,46346366,44631888
C.製造業,27 電腦、電子產品及光學製品製造業,272 通訊傳播設備製造業,23804999,19161389,23746987,25348103,27691979,27135748,29150302,29778698,27462445,27162893,25021492,24090095
C.製造業,27 電腦、電子產品及光學製品製造業,273 視聽電子產品製造業,5906484,5023294,6169037,6554074,7112234,7282433,8519934,8687112,8095876,7911329,7214254,6893039
C.製造業,27 電腦、電子產品及光學製品製造業,274 資料儲存媒體製造業,22684144,17759044,21793383,22308568,23279770,23221293,24706877,24343482,23591456,23543497,22071106,22234990
C.製造業,27 電腦、電子產品及光學製品製造業,275 量測、導航、控制設備及鐘錶製造業,14220217,11965285,14234908,14945453,16520713,16699715,18494670,18558600,17151089,17043668,15583427,14785571
C.製造業,27 電腦、電子產品及光學製品製造業,276 輻射及電子醫學設備製造業,987073,706330,918246,990882,1063100,1057272,1215660,1195276,1085441,1140484,1105846,1044001
C.製造業,27 電腦、電子產品及光學製品製造業,277 光學儀器及設備製造業,44162588,29519295,57166699,58765079,62581372,61847245,66756489,67249157,64459619,65725207,62831319,62289898
C.製造業,28 電力設備及配備製造業,281 發電、輸電及配電機械製造業,19221241,14615241,18589934,20267896,22169908,21918929,24431772,25057494,22216771,22785669,19696085,18911204
C.製造業,28 電力設備及配備製造業,282 電池製造業,25899900,20742318,25236541,24764244,27112241,27255249,29236127,28211642,26432853,26624218,25337303,25673495
C.製造業,28 電力設備及配備製造業,283 電線及配線器材製造業,41541511,29429012,40770629,39936468,44129302,40866451,46718506,45281296,42282842,43998140,42024307,40156766
C.製造業,28 電力設備及配備製造業,284 照明設備及配備製造業,5562768,4563208,5564258,5594426,6494300,6259599,6597144,6431126,6173577,5964523,5633877,5462891
C.製造業,28 電力設備及配備製造業,285 家用電器製造業,18102143,12996897,17154028,17327654,17689371,16882986,19492519,17233825,16583956,17102132,16267340,15856206
C.製造業,28 電力設備及配備製造業,289 其他電力設備及配備製造業,93003040,82191122,94317659,94269792,100165265,100307705,105824735,106384113,100539286,102602527,96380776,97700196
