行業別大類,行業別中類,行業別小類,1月,2月,3月,4月,5月,6月,7月,8月,9月,10月,11月,12月
A.農、林、漁、牧業,01 農、牧、狩獵,011 農藝及園藝,36570163,35602678,34969154,38510524,39936280,41877489,46039416,45890573,46504940,48857718,42073275,39148024
A.農、林、漁、牧業,01 農、牧、狩獵,012 農事服務,28007638,26020573,27665510,30059047,33376703,38497816,44091484,39489079,37576219,37361919,34483318,32184619
A.農、林、漁、牧業,01 農、牧、狩獵,013 畜牧業,41586102,41882899,40789280,46525856,49901955,53532331,61005145,61960356,62906923,66360892,51016756,46228930
A.農、林、漁、牧業,02 林業及伐木業,021 林業,188412,211903,186753,222040,247426,262630,274790,284509,287881,264745,210799,191422
A.農、林、漁、牧業,02 林業及伐木業,022 伐木及林產經營,142425,143628,140038,143008,163000,138682,168286,174518,172175,180294,162307,159007
A.農、林、漁、牧業,03 漁業,031 漁撈業,143640,154866,125235,142397,149579,153790,151237,153512,166885,186240,151670,140978
A.農、林、漁、牧業,03 漁業,032 水產養殖,70760286,69511515,65921415,74838063,78988234,82907110,92606620,93037125,93248195,101620750,90709950,83152950
A.農、林、漁、牧業,04 其他,,36709350,41975662,41367903,44582170,43086623,40331044,42046791,43178083,42784914,48722773,40225915,36968716
B.礦業及土石採取業,05 煤礦業,,83181,93276,80780,96586,99838,110904,118520,117578,105797,115782,97291,89785
B.礦業及土石採取業,06 石油、天然氣及地熱礦,,1409487,1452509,1456926,1585679,1752130,1878833,1753226,1902457,1816981,1749401,1552448,1702939
B.礦業及土石採取業,07 金屬礦業,,92355,114510,147962,108095,112710,111502,119906,140328,160505,155512,155620,124880
B.礦業及土石採取業,08 非金屬礦業,081 鹽業,111584,98140,116556,125502,153237,166527,176782,188584,162577,148796,136080,122573
B.礦業及土石採取業,08 非金屬礦業,082 化學及肥料礦,8152051,7146130,9525512,6411067,8748304,8811654,8838193,9240595,9082526,7789848,7754357,8277632
B.礦業及土石採取業,08 非金屬礦業,083 土礦業,636926,567429,780710,693760,710752,701478,765607,759601,768545,735280,778177,817990
B.礦業及土石採取業,08 非金屬礦業,084 石礦業,7136392,5899158,7521375,7350706,6908334,6775150,3593342,4046724,3979909,3675448,3882284,4109338
B.礦業及土石採取業,08 非金屬礦業,089 其他非金屬礦,1204621,985399,1138949,1036730,1177985,1083263,1288541,1290729,1229904,1244049,1333384,1333821
B.礦業及土石採取業,09 土石採取業,091 陸上土石採取,8309553,6808154,8757808,8054382,8707078,7565763,8245368,8682090,8583733,8466713,8944854,9737985
B.礦業及土石採取業,09 土石採取業,092 河海砂礫採取,3200250,2535390,3287607,3085269,3385310,2991850,3522486,3474055,3335762,2974195,3234403,3716991
B.礦業及土石採取業,09 土石採取業,099 其他土石採取,7884141,7106999,8395904,7926606,8051002,7349869,7859807,7912092,7779589,8335521,8298022,9226560
C.製造業,11 食品及飲料製造,111 屠宰業,16440405,14929191,17364160,17312992,18885653,19339775,20133868,20530666,19825118,19391139,17979429,17301217
C.製造業,11 食品及飲料製造,112 乳品製造,14724861,13359439,15662130,15678803,18128188,18604690,19324346,20063557,18523001,17888947,16343636,15296737
C.製造業,11 食品及飲料製造,113 罐頭、冷凍、脫水及醃漬食品製造,62041684,56912722,63660017,66568564,73824221,73651885,78866438,79447958,76727660,74231105,70953174,64951945
C.製造業,11 食品及飲料製造,114 糖果及麵食烘焙,28299958,25651635,29134585,30432705,33990576,35753297,38175999,38950071,36211497,35383783,32195225,30150057
C.製造業,11 食品及飲料製造,115 製油、製粉及碾穀,33386021,31549220,37025020,34512582,37777782,40549820,41445206,42415083,39349978,38161629,39445531,36394957
C.製造業,11 食品及飲料製造,116 製糖,4745794,5135255,5488121,5654479,6576547,5030725,6612678,6814462,6440211,6592164,5794167,7000262
C.製造業,11 食品及飲料製造,117 調味品製造,11301005,10296934,15724729,13936542,14666604,14968316,12801579,14745689,13042478,14479394,12348751,13886861
C.製造業,11 食品及飲料製造,118 飲料製造,35880382,32544697,39289570,40084941,45396603,48501366,50878230,53599946,49083393,43304115,39747532,35988651
C.製造業,11 食品及飲料製造,119 其他食品,86483015,77337258,88327585,91436014,102686681,107796881,113465942,117271965,112851968,110148857,101191873,95133270
C.製造業,12 菸草製造業,,3419717,3276211,4190661,4286021,4908841,3955822,3113505,3999112,4006404,3538966,3501204,3278034
C.製造業,13 紡織業,131 紡紗業,118551765,113632583,128724704,119830212,131758282,129399811,131814685,136179594,129650175,126493313,118284907,120522639
C.製造業,13 紡織業,132 織布業,77715249,78875762,85393717,79594206,84594197,87030009,87830343,93251265,93983409,94126038,87923954,88738121
C.製造業,13 紡織業,133 不織布業,17828466,18159203,21026425,20559207,22095472,23029958,23816771,25052956,23378331,23665506,21774039,21389249
C.製造業,13 紡織業,134 繩、纜、網、氈、毯製造,3410664,3356432,4145813,3859989,4139948,4584275,4648562,4717411,4568956,4413867,4356048,4201568
C.製造業,13 紡織業,135 印染整理,48296561,50147075,63818688,57483342,59418593,60211046,57929815,63152566,61452177,56851938,57168375,55726160
C.製造業,13 紡織業,139 其他紡織品製造,56309125,55001286,64628229,60797797,64218574,64316643,65804205,66305446,63403054,64272173,60853559,58362992
C.製造業,14 成衣、服飾品及其他紡織製品製造,141 梭織成衣,1600369,1581436,1630636,1755035,1894460,2076986,2381112,2374335,2354749,2239099,1898075,1790755
C.製造業,14 成衣、服飾品及其他紡織製品製造,142 針織成衣,8344679,8104114,9259778,9163834,9672570,10542415,11092033,11309719,10871649,10260055,9581464,9047194
C.製造業,14 成衣、服飾品及其他紡織製品製造,143 紡織帽製造,166952,146576,152342,176489,181500,186364,216872,216652,215032,224753,195695,172058
C.製造業,14 成衣、服飾品及其他紡織製品製造,144 紡織鞋製造,1035880,1048229,1295827,1258720,1349427,1469200,1557921,1733457,1715696,1566889,1414471,1295732
C.製造業,14 成衣、服飾品及其他紡織製品製造,145 服飾品製造,3040910,3331780,3819628,3849747,4250286,4450620,4442117,4511180,4305495,4127124,3814705,3481152
C.製造業,14 成衣、服飾品及其他紡織製品製造,149 其他紡織製品製造,26392036,25302012,29320696,28875724,30098397,30899596,31816242,31928829,30527799,31175595,28618586,28203635
C.製造業,15 皮革、毛皮及其製品製造,,13800155,14087711,17477907,16325202,16969171,17737212,17475945,18563713,17627169,16728258,16450400,14821622
C.製造業,16 木竹製品製造,,18074736,17443616,20933523,19894905,20746364,21739726,21815077,22521536,21382110,21160034,20759109,19787831
C.製造業,17 家具及裝設品製造,171 非金屬家具及裝設品製造,2232935,2059708,2492509,2457128,2611841,2914449,3003862,3121602,2957847,2772372,2593958,2506494
C.製造業,17 家具及裝設品製造,172 金屬家具及裝設品製造,5109425,4935052,6153158,5658893,6103848,6414380,6513527,6782683,6575103,6102450,6156263,5722852
C.製造業,17 家具及裝設品製造,173 家具及裝設品表面塗裝,2099136,1907757,2307686,2219691,2477456,2639835,2824074,2994191,2891761,2685087,2700499,2531485
C.製造業,18 紙漿、紙及紙製品製造,181 紙漿製造業,29467854,28320953,31594954,27759581,32592306,30794074,32990803,29568513,31732825,33874985,32118302,32176663
C.製造業,18 紙漿、紙及紙製品製造,182 紙製造業,91107062,81011363,89610123,103686728,93470974,82920027,87446660,87209283,88972053,88971512,86501985,89041071
C.製造業,18 紙漿、紙及紙製品製造,183 加工紙製造業,5201682,5129001,6139392,5565120,5829437,5885602,5816567,5628997,5332409,5380816,5712911,5321635
C.製造業,18 紙漿、紙及紙製品製造,184 紙容器製造業,14604341,15041672,18235233,15658213,17174646,17955186,17828453,19189599,18852429,17907769,18232651,17420095
C.製造業,18 紙漿、紙及紙製品製造,189 其他紙製品製造業,12988375,12782573,15480881,13864254,14980812,15360367,14932221,15657762,15403368,14390482,14358489,14022472
C.製造業,19 印刷及有關事業合計,191 印刷業,32190817,29794260,34699194,34680428,38682405,41348339,43182795,44664214,43123216,41075136,38795007,35837891
C.製造業,19 印刷及有關事業合計,192 製版業,410758,370040,395551,426290,483497,522444,571219,611344,595364,550157,491480,456033
C.製造業,19 印刷及有關事業合計,193 裝訂及印刷工業,2291987,2059542,2337416,2333413,2729404,3074464,3369074,3089270,3212235,3265594,3024960,2637763
C.製造業,19 印刷及有關事業合計,194 印刷有關服務業,4286015,4514139,5208033,5286591,5279311,5052107,5297197,5820940,5450953,5180656,4969644,4850139
C.製造業,21 化學材料製造業,211 基本化學材料製造,144893756,132636291,137266798,143558645,156639199,152600423,155764466,161191072,151167203,146107225,149103886,142619002
C.製造業,21 化學材料製造業,212 人造纖維製造,249661094,242580455,278249105,265565076,272461596,280066541,275887277,265542271,270345757,279281325,260902836,269618174
C.製造業,21 化學材料製造業,213 合成樹脂、塑膠及橡膠製造,107324734,101462902,124627778,135474039,144886910,127418214,127903029,135745841,128417394,142598627,131472013,130804122
C.製造業,21 化學材料製造業,219 其他化學材料製造,80283621,73367858,83399928,76072482,80249124,80098687,84359271,84760592,82925577,81980263,82916533,81705567
C.製造業,22 化學製品製造業,221 塗料、漆料及相關產品製造,29784108,28401229,27920413,30293333,31493509,32383988,34310569,31617856,33244885,32520593,30316858,27039437
C.製造業,22 化學製品製造業,222 藥品製造,57210865,53101663,65326445,63257304,71392204,76385874,77422709,80050966,77302150,72945807,70223413,64879204
C.製造業,22 化學製品製造業,223 清潔用品製造,6242360,6149046,7589829,6794712,7266909,7843793,7838434,7852071,7602829,7467198,7119837,6823022
C.製造業,22 化學製品製造業,224 化妝品製造,7312688,6972065,8232388,8111124,9144030,9796691,9982201,10439602,9897352,9573835,9329247,8998639
C.製造業,22 化學製品製造業,229 其他化學製品製造,163141525,171069476,214380483,211715061,186463272,185613789,192981515,193012201,189441802,191347898,223773503,199516912
C.製造業,23 石油及煤製品製造業,231 石油煉製,151816574,136795355,159295304,149453673,175190056,164086788,175764603,176098977,164163823,158587248,142585798,158487977
C.製造業,23 石油及煤製品製造業,239 其他石油及煤製品製造,41054032,36724855,38841413,49142428,47911175,94289755,43047172,43831654,41840689,43640450,74148013,61743349
C.製造業,24 橡膠製品製造業,,86944744,88097867,107958639,99882844,106554840,107865555,105796195,108353417,101232924,100002152,99720754,97524262
C.製造業,25 塑膠製品製造業,,379066780,367492712,435691063,410018665,431157262,441417526,449383845,463576442,449397693,434677002,424421414,425609391
C.製造業,26 非金屬礦物製品製造業,261 陶瓷器及其製品製造,21229253,15652080,25881040,25099228,28778674,28879415,29463581,29702836,28577958,27801919,26866080,27637670
C.製造業,26 非金屬礦物製品製造業,262 玻璃及玻璃製品製造,214387520,194530390,224859829,217988218,230938027,227884651,232766427,237440103,231851631,229670784,218936235,218056346
C.製造業,26 非金屬礦物製品製造業,263 水泥及水泥製品製造,131595921,108456151,137043332,133621368,140014207,117034156,138717145,119172312,130216023,129476449,126637020,144301559
C.製造業,26 非金屬礦物製品製造業,264 耐火材料製造,3535123,3287120,4321457,3642069,3557367,3782615,3851836,4002787,3891387,3854381,3526936,3553833
C.製造業,26 非金屬礦物製品製造業,265 石材製品製造,13914998,13910889,17110572,15953612,16293943,15912614,16131327,16579224,15757140,15666533,15605286,15799435
C.製造業,26 非金屬礦物製品製造業,269 其他非金屬礦物製品製造,33349432,29297374,38254008,36692654,38441609,37794874,38640198,40473343,38393661,36736188,36675050,37763912
C.製造業,27 金屬基本工業,271 鋼鐵基本工業,866917041,848405576,967310294,927134718,921491111,803397491,874084080,877237619,843140534,936852227,971950471,993572697
