行業別大類,行業別中類,行業別小類,1月,2月,3月,4月,5月,6月,7月,8月,9月,10月,11月,12月
A.農、林、漁、牧業,01 農、牧業,011 農作物栽培業,35634221,40039716,36606721,39312143,41602817,44939046,51928366,47108353,50487498,45948913,42888398,40136563
A.農、林、漁、牧業,01 農、牧業,012 畜牧業,45376760,52230820,46950992,52576900,56306486,65671088,77984697,70941335,77460602,66471839,57166332,51567234
A.農、林、漁、牧業,01 農、牧業,013 農事及畜牧服務業,55415251,65258352,62787488,66211134,70707191,72225387,83694798,73527502,75234351,70297963,68366420,62718907
A.農、林、漁、牧業,02 林業,021 林業,154920,175625,169602,203833,174432,189415,264744,233399,254005,248730,201635,203648
A.農、林、漁、牧業,03 漁業,031 漁撈業,117451,126057,116686,121272,127291,133401,144401,132247,119812,99329,103615,89622
A.農、林、漁、牧業,03 漁業,032 水產養殖業,69611881,79520235,68860795,78313951,79817055,86285807,100054767,91635195,102929716,91974841,88087377,80823788
B.礦業及土石採取業,05 石油及天然氣礦業,,2385080,2352688,2796536,2895825,2663716,3658726,2580115,2620648,2521577,4130848,2461060,2969662
B.礦業及土石採取業,06 砂、石採取及其他礦業,,18779961,20417677,22525190,21522520,19741487,20895769,21559706,19701954,21674400,21506912,21992615,23020762
C.製造業,08 食品及飲料製造業,081 肉類加工及保藏業,33270658,34189619,36688904,36479674,39254727,39738817,43330363,41720650,42385674,40229872,38830964,38584120
C.製造業,08 食品及飲料製造業,082 水產加工及保藏業,14827872,15136456,16225922,15823772,17777267,18602260,21713635,20666214,20346020,18566362,18358746,17351411
C.製造業,08 食品及飲料製造業,083 蔬果加工及保藏業,14868239,15565821,16853614,20566871,21536220,19242726,20651331,19737850,19601052,18496362,18797881,19893522
C.製造業,08 食品及飲料製造業,084 動植物油脂製造業,11007342,11885260,12888567,12011559,12719302,13851337,14432690,14962534,14688922,13615851,13081920,13401578
C.製造業,08 食品及飲料製造業,085 乳品製造業,16801191,16393390,18867285,18613117,22110418,23228441,24824732,23851759,22415131,20349052,19214213,18423909
C.製造業,08 食品及飲料製造業,086 碾榖、磨粉及澱粉製品製造業,16978294,19149269,19929820,19806280,20081719,22222109,24550890,21910897,21348977,20013120,21898527,21106428
C.製造業,08 食品及飲料製造業,087 動物飼品製造業,27020016,27480192,29802968,31752338,32267442,33220625,36128084,34378637,34808804,33650124,31036362,30635849
C.製造業,08 食品及飲料製造業,089 其他食品製造業,123960887,128129340,134424025,134614120,148481876,156033354,173549546,165533217,165373338,149531057,145287576,140863472
C.製造業,09 飲料製造業,091 酒精飲料製造業,8455072,8380123,9854082,9699331,12370507,12946697,13905705,13293369,12880004,11531450,10796315,9975079
C.製造業,09 飲料製造業,092 非酒精飲料製造業,22311705,22674721,26632655,25245929,28760335,32181621,38223566,35896521,33341254,28695972,26156528,25005134
C.製造業,10菸草製造業,,3550476,3875667,4047220,4026050,4669466,4608203,4889574,4793938,4695408,4561847,4269083,4295426
C.製造業,11 紡織業,111 紡紗業,105981126,113015765,120033407,82557986,78895959,84087173,94861185,103443003,100867547,102964153,103916438,109247845
C.製造業,11 紡織業,112 織布業,165863758,167820772,183814178,135935605,136019804,142097947,155775139,154903905,160157137,160725602,158788604,157263919
C.製造業,11 紡織業,113 不織布業,24215664,26866009,30050575,28808524,28682776,28181630,32344105,34292368,35011895,34179719,32716269,33077697
C.製造業,11 紡織業,114 染整業,49878506,60278137,64339649,43818471,43420616,43097961,50065153,52937113,56575747,53092924,54325273,58386744
C.製造業,11 紡織業,115 紡織品製造業,20942683,22599979,23885063,20282537,19865311,20919874,24674510,23679828,25803188,24044049,23676322,24016187
C.製造業,12 成衣及服飾品製造業,121 成衣製造業,10183744,11206881,12039820,9295617,9859095,11492660,14589220,15061726,14973759,13243177,12297067,11806238
C.製造業,12 成衣及服飾品製造業,123 服飾品製造業,3225860,3591142,3819863,3813737,3490724,3804961,4349367,3880908,4409133,3866648,3518815,3529696
C.製造業,13 皮革、毛皮及其製品製造業,,9740412,10880846,12031446,10421683,10436066,10858820,12290064,11770971,12677242,11104251,10837429,11107289
C.製造業,14 木竹製品製造業,,9411279,10225516,10709606,10795473,10732620,11390562,12644901,11793585,12646719,11221803,11050724,11617526
C.製造業,15 紙漿、紙及紙製品製造業,151 紙漿、紙及紙板製造業,85967306,106218978,119075987,105263314,95415047,87831724,96314796,87570305,88700640,95700883,93298883,102368820
C.製造業,15 紙漿、紙及紙製品製造業,152 瓦楞紙板及紙容器製造業,28002246,31154897,33952292,30082672,29290184,29426484,33055044,32415112,33068529,31219359,32884757,34260507
C.製造業,15 紙漿、紙及紙製品製造業,153 其他紙製品製造業,27669235,31727563,34491136,32597943,33363750,31603190,32792024,31621677,32971100,30615387,31701394,32583600
C.製造業,16 印刷及資料儲存媒體複製業,,30364129,32587018,34352793,34270435,36824160,39775692,46347457,43552518,47009361,40885980,39204761,38578725
C.製造業,17 石油及煤製品製造業,,184326991,176474652,211658837,214333318,175074603,142017856,133971806,134195151,128549076,153538859,138975732,148720218
C.製造業,18 化學原材料、肥料、氮化合物、塑橡膠原料及人造纖維,181 化學原材料製造業,417715926,410955965,428490971,421134200,445138760,443778762,459070870,478261554,465500033,473895409,466289093,461889022
C.製造業,18 化學原材料、肥料、氮化合物、塑橡膠原料及人造纖維,183 肥料及氮化合物製造業,12426507,12330006,14051189,13625927,13735980,14210786,14851890,14298014,14479565,13537349,12021048,12565411
C.製造業,18 化學原材料、肥料、氮化合物、塑橡膠原料及人造纖維,184 塑膠及合成橡膠原料製造業,192360091,180208016,185705854,196563851,180017291,179754785,201014449,199184067,200738729,217669732,227615254,214645999
C.製造業,18 化學原材料、肥料、氮化合物、塑橡膠原料及人造纖維,185 人造纖維製造業,113256406,113265949,135178647,99422059,95883316,103361138,114610876,118447080,118777193,126388783,124294007,122078913
C.製造業,19 其他化學製品製造業,191 農藥及環境用藥製造業,3791191,4452492,5332697,4988816,5443557,5252830,5848302,5563796,5600218,5407236,5051147,4638632
C.製造業,19 其他化學製品製造業,192 塗料、染料及顏料製造業,14897347,16875070,19044003,17539522,17650495,17708856,19775211,19421230,20139494,18444092,18788148,19095877
C.製造業,19 其他化學製品製造業,193 清潔用品及化粧品製造業,10658998,11666579,12538422,12523288,13121755,13350841,14726246,14463623,14577644,13253875,12879743,12702368
C.製造業,19 其他化學製品製造業,199 未分類其他化學製品製造業,76504672,113483963,98731198,93434086,110011327,93156077,100912019,98049606,100944879,98790421,95390873,129946903
C.製造業,20 藥品及醫用化學製品製造業, ,59581720,62944945,71449123,67699476,76932293,79951535,81722298,78854591,77493503,70468804,68769259,67501019
C.製造業,21 橡膠製品製造業, ,71240550,85747899,87910647,79028844,74237491,82516649,94655538,93505629,95711766,90165706,88783211,92228563
C.製造業,22 塑膠製品製造業, ,373740184,408516321,429722085,414797108,421193428,428550424,473392582,464109116,478661421,448678255,452419423,461115030
