日期,備轉容量(萬瓩),備轉容量率(%)
2018/4/27,208.68,6.87
2018/4/28,187.54,6.99
2018/4/29,178.73,6.85
2018/4/30,207.32,6.89
2018/5/1,178.82,6.24
2018/5/2,157.96,4.88
2018/5/3,213.17,6.95
2018/5/4,209.02,6.82
2018/5/5,186.24,6.78
2018/5/6,191.88,6.97
2018/5/7,180.62,5.51
2018/5/8,215.27,6.78
2018/5/9,210.02,6.98
2018/5/10,208.77,6.92
2018/5/11,208.98,6.80
2018/5/12,190.81,6.95
2018/5/13,189,6.98
2018/5/14,199.17,6.05
2018/5/15,172.26,5.14
2018/5/16,155.45,4.54
2018/5/17,176.43,5.09
2018/5/18,177.63,5.07
2018/5/19,213.18,6.97
2018/5/20,182.82,6.17
2018/5/21,183.11,5.34
2018/5/22,187.21,5.38
2018/5/23,150.64,4.32
2018/5/24,236.02,6.92
2018/5/25,195.99,5.60
2018/5/26,212.03,6.97
2018/5/27,181.97,6.01
2018/5/28,129.1,3.59
2018/5/29,104.93,2.89
2018/5/30,123.11,3.35
2018/5/31,143.05,3.90
2018/6/1,234.65,6.99
2018/6/2,196,6.75
2018/6/3,194.84,6.84
2018/6/4,240.04,6.96
2018/6/5,226.71,6.42
2018/6/6,218.59,6.11
2018/6/7,234.82,6.58
2018/6/8,217.82,6.03
2018/6/9,191.66,6.03
2018/6/10,183.92,6.17
2018/6/11,256.91,7.89
2018/6/12,217.83,6.50
2018/6/13,211.11,6.20
2018/6/14,219.08,6.49
2018/6/15,211.58,6.69
2018/6/16,191.02,6.67
2018/6/17,189.67,6.96
2018/6/18,194.26,6.95
2018/6/19,255.04,7.95
2018/6/20,224.64,6.97
2018/6/21,217.49,6.56
2018/6/22,232.19,6.88
2018/6/23,206.75,6.85
2018/6/24,193.04,6.62
2018/6/25,228.18,6.50
2018/6/26,244.48,6.93
2018/6/27,241.48,6.88
2018/6/28,234.37,6.61
2018/6/29,242.87,6.95
2018/6/30,204.47,6.71
2018/7/1,198.62,6.85
2018/7/2,238.45,7.19
2018/7/3,221.71,6.49
2018/7/4,229.45,6.80
2018/7/5,229.71,6.93
2018/7/6,226.13,6.59
2018/7/7,208.43,6.86
2018/7/8,193.56,6.69
2018/7/9,229.2,6.56
2018/7/10,225.91,6.50
2018/7/11,214.61,6.88
2018/7/12,220.91,6.42
2018/7/13,221.67,6.34
2018/7/14,229.21,7.33
2018/7/15,298.65,10.19
2018/7/16,276.92,7.87
2018/7/17,251.35,6.94
2018/7/18,235.96,6.47
2018/7/19,234.68,6.39
2018/7/20,234.19,6.55
2018/7/21,293.14,9.36
2018/7/22,267.21,9.11
2018/7/23,294.76,8.61
2018/7/24,229.16,6.37
2018/7/25,239.86,6.68
2018/7/26,229.61,6.41
2018/7/27,244.28,6.85
2018/7/28,250.43,7.98
2018/7/29,207.25,6.77
2018/7/30,238.58,6.57
2018/7/31,235.58,6.38
2018/8/1,230.52,6.17
2018/8/2,245.68,6.80
2018/8/3,242.94,6.73
2018/8/4,308.84,9.68
2018/8/5,355.64,11.99
2018/8/6,241.28,6.69
2018/8/7,247.4,6.85
2018/8/8,249.22,6.89
2018/8/9,247.2,6.89
2018/8/10,235.6,6.54
2018/8/11,332.78,10.49
2018/8/12,257.43,8.55
2018/8/13,239.79,6.90
2018/8/14,235.2,6.75
2018/8/15,247.48,7.29
2018/8/16,227.46,6.62
2018/8/17,226.64,6.44
2018/8/18,367.58,12.22
2018/8/19,303.55,10.59
2018/8/20,237.22,6.90
2018/8/21,222.18,6.41
2018/8/22,236.48,6.80
2018/8/23,215.96,6.22
2018/8/24,384.63,12.75
2018/8/25,328.05,11.24
2018/8/26,299.82,10.67
2018/8/27,384.22,11.88
2018/8/28,406.771,12.74
2018/8/29,352.722,10.99
2018/8/30,439.784,13.79
2018/8/31,407.609,12.63
2018/9/1,420.976,14.55
2018/9/2,306.205,10.87
2018/9/3,282.762,8.36
2018/9/4,228.48,6.50
2018/9/5,227.451,6.45
2018/9/6,238.273,6.83
2018/9/7,238.049,6.90
2018/9/8,297.201,10.02
2018/9/9,371.261,13.85
2018/9/10,356.704,11.27
2018/9/11,311.074,9.35
2018/9/12,231.449,6.78
2018/9/13,238.123,6.90
2018/9/14,230.79,6.66
2018/9/15,314.7896,10.75
2018/9/16,300.93,10.40
2018/9/17,235,6.70
2018/9/18,240.38,6.80
2018/9/19,240.3,6.87
2018/9/20,225.69,6.44
2018/9/21,240.36,6.89
2018/9/22,256.87,8.49
2018/9/23,271.82,9.75
2018/9/24,336.93,12.38
2018/9/25,393.65,12.02
2018/9/26,388.52,12.16
2018/9/27,423.01,13.24
2018/9/28,405.75,12.88
2018/9/29,417.45,15.57
2018/9/30,406.63,15.94
2018/10/1,309.79,10.09
2018/10/2,311.63,10.06
2018/10/3,300,9.81
2018/10/4,328.21,10.99
2018/10/5,239.59,7.89
2018/10/6,270.46,9.98
2018/10/7,270.98,10.47
2018/10/8,297.54,9.64
2018/10/9,294.76,9.42
2018/10/10,244.27,8.86
2018/10/11,313.82,10.50
2018/10/12,375.61,12.88
2018/10/13,330.03,12.62
2018/10/14,249.95,9.73
2018/10/15,308.26,10.09
2018/10/16,239.27,7.61
2018/10/17,266.9,8.87
2018/10/18,277.37,9.22
2018/10/19,288.86,9.64
2018/10/20,314.84,12.01
2018/10/21,276.6,10.90
2018/10/22,234.83,7.77
2018/10/23,208.03,6.83
2018/10/24,225.14,7.37
2018/10/25,211.56,6.82
2018/10/26,215.19,6.94
2018/10/27,325.75,12.73
2018/10/28,311.53,12.83
2018/10/29,311.18,10.94
2018/10/30,255.72,8.80
2018/10/31,276.24,9.51
2018/11/1,253.62,8.87
2018/11/2,234.08,8.10
2018/11/3,192.5297,7.27
2018/11/4,212.8,8.38
