日期,備轉容量(萬瓩),備轉容量率(%)
2020/7/12,351.814,10.92
2020/7/13,397.368,10.59
2020/7/14,392.383,10.38
2020/7/15,420.979,11.45
2020/7/16,508.453,14.16
2020/7/17,425.6245,11.54
2020/7/18,432.109,13.02
2020/7/19,412.8645,12.97
2020/7/20,426.8325,11.38
2020/7/21,513.3405,13.94
2020/7/22,426.617,11.42
2020/7/23,384.7835,10.12
2020/7/24,412.8885,10.99
2020/7/25,469.7035,14.30
2020/7/26,471.789,15.44
2020/7/27,456.52,12.42
2020/7/28,453.072,12.47
2020/7/29,484.414,13.33
2020/7/30,546.0255,15.34
2020/7/31,413.8555,11.40
2020/8/1,412.085,12.61
2020/8/2,380.996,12.39
2020/8/3,489.765,14.53
2020/8/4,435.342,12.79
2020/8/5,438.69,12.40
2020/8/6,385.311,10.53
2020/8/7,385.945,10.52
2020/8/8,387.151,11.96
2020/8/9,318.716,10.23
2020/8/10,372.601,10.23
2020/8/11,438.377,12.47
2020/8/12,427.018,11.69
2020/8/13,465.107,12.81
2020/8/14,502.177,13.97
2020/8/15,494.113,15.83
2020/8/16,462.238,15.55
2020/8/17,458.469,12.90
2020/8/18,423.593,11.68
2020/8/19,386.92,10.46
2020/8/20,438.394,11.91
2020/8/21,386.229,10.49
2020/8/22,339.815,10.97
2020/8/23,329.664,10.90
2020/8/24,369.43,10.13
2020/8/25,381.261,10.28
2020/8/26,379.598,10.60
2020/8/27,454.461,12.94
2020/8/28,427.246,12.16
2020/8/29,417.35,13.40
2020/8/30,408.556,13.32
2020/8/31,471.878,13.41
2020/9/1,447.835,12.64
2020/9/2,386.854,10.60
2020/9/3,481.0856,13.56
2020/9/4,487.0056,13.54
2020/9/5,392.255,12.75
2020/9/6,387.334,13.87
2020/9/7,436.254,12.85
2020/9/8,415.467,11.83
2020/9/9,417.66,11.81
2020/9/10,425.5,12.01
2020/9/11,408.439,11.47
2020/9/12,338.325,10.81
2020/9/13,302.47,10.07
2020/9/14,371.838,10.43
2020/9/15,372.504,10.26
2020/9/16,373.328,10.22
2020/9/17,372.432,10.11
2020/9/18,372.908,10.11
2020/9/19,331.691,10.21
2020/9/20,388.544,13.16
2020/9/21,456.215,13.26
2020/9/22,512.551,14.97
2020/9/23,477.234,13.76
2020/9/24,543.444,16.21
2020/9/25,527.442,16.48
2020/9/26,454.687,14.62
2020/9/27,448.87,16.74
2020/9/28,455.469,14.64
2020/9/29,425.969,13.42
2020/9/30,528.445,17.20
2020/10/1,464.518,17.60
2020/10/2,346.025,12.78
2020/10/3,341.759,12.41
2020/10/4,359.141,12.70
2020/10/5,453.879,13.96
2020/10/6,423.925,13.29
2020/10/7,410.003,13.10
2020/10/8,471.783,15.31
2020/10/9,430.975,15.68
2020/10/10,329.551,12.03
2020/10/11,308.783,11.26
2020/10/12,336.098,10.17
2020/10/13,346.525,10.38
2020/10/14,399.187,12.17
2020/10/15,392.584,12.01
2020/10/16,380.0655,11.56
2020/10/17,408.7365,14.59
2020/10/18,394.571,14.85
2020/10/19,450.455,14.51
2020/10/20,424.397,13.42
2020/10/21,330.95,10.22
2020/10/22,434.173,13.92
2020/10/23,400.245,13.48
2020/10/24,389.218,14.53
2020/10/25,402.4975,15.41
2020/10/26,350.261,11.27
2020/10/27,340.136,10.74
2020/10/28,346.942,10.86
2020/10/29,370.7805,11.86
2020/10/30,421.5345,13.93
2020/10/31,371.9285,13.90
2020/11/1,356.8735,13.66
2020/11/2,352.3575,11.58
2020/11/3,318.8985,10.64
2020/11/4,355.1525,11.92
2020/11/5,331.897,10.94
2020/11/6,326.2858,10.26
2020/11/7,319.8778,11.34
2020/11/8,392.78,15.33
2020/11/9,408.017,13.89
2020/11/10,359.003,12.04
2020/11/11,370.796,12.52
2020/11/12,319.091,10.50
2020/11/13,337.243,11.17
2020/11/14,336.368,12.39
2020/11/15,346.263,13.27
2020/11/16,314.699,10.16
2020/11/17,320.216,10.20
2020/11/18,336.104,10.56
2020/11/19,331.395,10.33
2020/11/20,364.299,11.38
2020/11/21,292.83,10.21
2020/11/22,276.4731,10.28
2020/11/23,314.4561,10.20
2020/11/24,313.396,10.13
2020/11/25,330.61,10.50
2020/11/26,314.443,10.01
2020/11/27,349.495,11.58
2020/11/28,297.69,11.09
2020/11/29,328.719,13.02
2020/11/30,331.984,11.40
2020/12/1,323.746,10.95
2020/12/2,304.921,10.32
2020/12/3,316.7961,10.81
2020/12/4,308.4351,10.50
2020/12/5,361.863,13.58
2020/12/6,269.048,10.51
2020/12/7,310.591,10.45
2020/12/8,316.4,10.59
2020/12/9,309.406,10.27
2020/12/10,308.616,10.22
2020/12/11,312.9,10.46
2020/12/12,328.289,12.31
2020/12/13,282.987,11.12
2020/12/14,302.124,10.20
2020/12/15,301.1991,10.14
2020/12/16,302.059,10.14
2020/12/17,300.027,10.04
2020/12/18,304.72,10.22
2020/12/19,304.668,11.39
2020/12/20,371.633,14.48
2020/12/21,307.26,10.36
2020/12/22,319.884,10.70
2020/12/23,307.631,10.15
2020/12/24,354.4739,11.87
2020/12/25,341.797,11.67
2020/12/26,306.595,11.47
2020/12/27,286.8795,11.04
2020/12/28,313.4859,10.63
2020/12/29,309.326,10.30
2020/12/30,311.759,10.72
2020/12/31,315.3776,11.09
